index,subject ,Q,A
173,住户,农村迁坟补贴收入在住户调查中，要怎么编码？,"在住户调查统计中，农村迁坟补贴收入应被明确划分为“转移性收入”，并对应填报至“其他转移性收入”科目（编码：240891）。此类资金本质上是政府或集体组织因公共利益需要（如土地开发、基建施工等），针对农户祖坟迁移行为支付的政策性经济补偿。
由于迁坟补贴不属于劳动报酬、财产增值或经营性收益，而是一种单方面的政府经济补偿，因此其具备典型的转移支付性质。在记账时，由于该项收入通常具有一次性和非经常性的特点，且不符合养老金、社会救助金或辞退金等特定科目的定义，故应将其归入“其他转移性收入”进行统一核算。准确记录此类补贴，有助于反映国家政策对农户家庭经济状况的阶段性影响，确保住户收入结构的统计完整性。"
174,住户,住户调查中，如果遇到网络诈骗被骗的钱该怎么记账？,网络诈骗被骗的钱该记入“其他非经常性转移支出”（参考编码：552911）指除上述（博彩支出、婚丧嫁娶礼金支出、一次性赔偿支出、一次性馈赠支出、婚丧嫁娶宴请支出）以外的其他非经常性转移支出，如丢失现金或相当于现金的购物卡、储值卡等。
175,住户,住户调查中，赡养收入包括哪些？,赡养收入被严格定义为具有法定赡养或抚养义务的亲属（如子女、父母等）为保障住户成员日常生活而提供的经常性、稳定性支持。其形式涵盖了现金拨付以及米面粮油、蔬菜等生活物资的实物折价。在记账逻辑上，判定“赡养收入”的核心在于其提供的长期性：定期的生活费补贴应足额记录，而实物形式的支持则需按当地市场价折算后，也视同为现金赡养计入。
176,住户,住户调查中，失业后领取的失业金算可支配收入吗？,"失业后领取的失业金归类为“失业保险金”（参考编码：240811）指失业保险经办机构依法支付给符合条件的失业人员的基本生活费用，是对失业人员在失业期间失去工资收入的一种临时补偿，并以实际收到的金额据实填报。“失业保险金”属于“转移性收入”
可支配收入包含四项，分别为：工资性收入、经营净收入、财产净收入和转移净收入。计算公式为：可支配收入 = 工资性收入 + 经营净收入 + 财产净收入 + 转移净收入。其中转移净收入 = 转移性收入 - 转移性支出。失业后领取的失业金算可支配收入。"
177,住户,住户调查中，收回借款本金如何记账？,"在住户调查记账中，收回外借款项应遵循“本息分离、科目对应”的原则。对于本金部分，应将其归类为“借贷性所得”，具体计入“收回借出款”项目（编码：260311）。该科目专门用于核算住户成员收回的、非当月借出的且用于非生产经营用途的现金。需要特别注意的是，若借款在发生当月即归还，通常作为当月现金流动的抵减处理，而不计入该固定科目。
对于收回借款时伴随产生的利息部分，则严禁与本金混记，必须独立核算为“财产性收入”下的“利息收入”（编码：230111）。在实际操作中，记账人员需在《现金收支账》中分别录入这两笔资金：本金体现为资产形式的转换，而利息则体现为资产增值带来的收入。通过这种严谨的分项记录，能够确保住户调查数据准确区分本金回笼与实际盈利，真实反映家庭资产的变动情况。"
178,住户,住户调查中，提取了公积金并且到账，要如何记账？,提取了公积金并且到账需记入非经常性转移所得项中的“提取住房公积金”（参考编码：250251）指参加住房公积金制度的职工，通过一定的手续提取的住房公积金。包括个人交纳的公积金和单位交纳的公积金，也包括单位给未达到住房面积标准的职工和离退休人员发放到公积金账户中的住房补贴。不包括发放到职工工资卡上或作为工资的一部分以现金形式发放的住房补贴。
179,住户,住户调查中，通过玩游戏、看小说、短视频app等提现的现金红包如何记账?,在住户调查记账中，通过玩游戏、看小说或短视频 App 提现的现金红包应记为非收入所得项中的“其他非收入所得”（参考编码：250311）指住户获得的除非收入所得项中的出售资产所得与非经常性转移所得以外的其他非收入所得。
180,住户,住户调查中，外出旅游帮朋友买了门票后朋友还给了我记账怎么记?,"外出旅游时为他人垫付门票费并随后收回资金的行为，不能简单地相互抵消，而应采取“双向记录”的方法以完整反映现金流。首先，在垫付资金时，应记录一笔“消费性支出”，具体计入“文化娱乐服务——景点门票”（编码：362321）。即使这部分支出最终由他人负担，但在记账时点，它真实产生了家庭资金的流出，通过在备注栏标注“代友垫付”可方便后续核对。
当朋友随后归还该笔款项时，这部分资金不属于家庭的劳动收入或资产收益，因此应将其记录为一笔“借贷性所得”，建议计入“其他借贷所得”或在特定系统中选择“其他非收入所得”。这种处理方式能够确保家庭的消费支出数据（门票费）与资金回笼数据（收回垫款）在账面上逻辑闭环，既准确统计了家庭的社会化交往频率，又防止了因“只有支出、无款项回笼”导致的家庭结余虚减。"
181,住户,住户调查中，我们医疗保险由村里统一交的怎么记账？,"村集体自筹资金代缴：若村集体使用自有资金为村民缴纳医疗保险，应记入 “集体分配的红利”（参考编码：230211）。若由地方政府财政资金代缴（如针对困难群体的政策性补贴），应记入 “社保支出专项补贴”（编码240841）。若村集体代缴的医疗保险已通过“集体分配的红利”或“社保支出专项补贴”记录，无需再重复记入个人收入项，但需确保社保支出项完整。
村集体代缴的医疗保险通常属于城乡居民基本医疗保险范畴，产生医疗费用时，总的医疗费用先记一笔支出，再将报销部分记一笔“报销医疗费”（参考编码：240511）收入。"
182,住户,住户调查中，我在自己家开的小卖店买东西，住户调查中收入和消费怎么记账?,"收入端，自家开的小卖部买东西的收入应记入非农业生产经营收入项中的“批发和零售业”（参考编码：220511）指住户或住户成员从事批发和零售业生产经营活动所获得全部收入，含成本及缴纳的各种税、费。批发和零售业指商品在流通环节中的批发活动和零售活动，包括批发业和零售业。
消费端，家庭成员从小卖店拿取的自用商品（如自家食用的油盐、纸巾）应视同实物消费，按物品类别分别计入家庭消费支出，以准确还原生活成本。在记录过程中，必须严格区分经营性成本与家庭生活支出，确保记账周期与自然月一致，账面金额精确至两位小数，从而真实、完整地反映家庭的生产经营能力与实际生活水平。"
183,住户,住户调查中，销售销售提成算按月发放的，记账中算工资还是其他收入?,按月发放的提成在性质上属于劳动报酬中的奖金范畴，因此根据住户调查中关于工资的定义，指就业的住户成员通过劳动从单位或雇主按月获取的各种现金报酬，包含单位或雇主按月从工资中代扣的各种扣款（含个人所得税）。如：按月发放的计时计件劳动报酬、按月发放的奖金或工作津贴、住房补贴、交通补贴、车改补贴、通讯补贴、冬季取暖费、防暑降温费、加班费等；工作单位按月代扣的应由个人承担的养老保险、医疗保险、失业保险和住房公积金、个人所得税；单位在工资中按月代扣的房租、水费、电费、托儿费、医疗费、借款等。上述由单位代扣的各项费用应当同时计入相应的消费支出或转移性支出中。工资按照收付实现制计算，按月打到个人银行账户、银行卡的工资应及时记账，本调查期内应得但因拖欠等原因未得到的工资暂不计入，在实际得到工资时再记入日记账（计入“补发工资”）。农村非农务工人员（如泥瓦工、挑夫、保姆等）按月得到的各种现金报酬也计入在内。故此按月发放的提成应该与基础工资合并计算入工资项，“按月发放的工资(含奖金、津贴)”（参考编码：210111）。
184,住户,住户调查中，小孩读大学了暑假里出去打零工这个收入该怎么记？,大学生在暑假期间从事兼职或打零工所获得的报酬，在住户调查中应被界定为工资性收入中其他项目中的“自由职业劳动所得（如稿费、翻译费）”（参考编码：210221）。指就业的住户成员个人从事自由职业、第二职业、兼职或零星劳动所获得的报酬，含个人所得税。如稿费、翻译费、设计费、讲课费、咨询费、信息费、调查费、商品推销费等。
185,住户,住户调查中，学校的伙食费如何记账？,"在住户收支调查中，学生伙食费的记账方式取决于支付形式与消费场景。为了确保教育支出与伙食支出的边界清晰，应根据以下逻辑进行段落式记录：
针对特定的一揽子支付情况，即家长按学期统一缴纳且无法拆分伙食、住宿与学费的账单，应整体记入相应教育阶段的“一揽子教育服务（含食宿）”（如小学 361251，初中 361351 等）。若是在校外餐馆、小卖部或通过外卖平台解决餐饮，则归类为“其他在外饮食”（编码 313211），包括校外托管的“小饭桌”费用也按此处理。在记账实务中，应遵循“能拆尽拆”的原则，优先尝试将伙食费分离出来独立记入饮食类别；只有在确实无法剥离时，才作为教育综合服务处理，以真实反映住户在不同科目下的消费结构。"
186,住户,住户调查中，学校退回学杂费应该怎么记账？,开学时交纳的全额学费应记相关教育支出，如果后来退回部分教育费用，则记负支出。例如，小明高中开学时缴纳学杂费100元，后来学校退回部分费用50元。记账高中教育下的“学杂费”项（参考编码：361421）100元，退回费用记负支出“学杂费”-50元 。不同教育阶段的学杂费记账项目不同，注意选择正确的教育阶段
187,住户,住户调查中，以获取收入为目的的专业炒股人员，他的本季度主要的就业状况属于什么?,"本季度主要的就业状况，指住户成员在本季度从事时间最长的就业状况。本季度如果从事了两种或两种以上工作，且每种的从业时间大体相同，则按收入最多的就业状况填写。就业状况分成以下七种：雇主、事业单位人员、国有企业雇员、其他雇员、农业自营、非农自营。
在就业状况判定上，专业炒股人员通过自主管理资金获取盈亏，具有自主经营、自负盈亏的特征，因此应界定为“非农自营”。指自己从事生产经营活动并且没有雇人(至少连续工作一个月)的人员，如专门从事写作、绘画、翻译、个人职业炒股等获得收入的人员。"
188,住户,住户调查中，有上班有工资情况下，利用余空时间开滴滴该怎么记账？,"在日常有固定工资收入的前提下，利用业余时间兼职“滴滴出行”属于典型的非农生产经营活动，在记账时必须将这部分收支与工资收入严格区分，实行“经营账与生活账分离”。
在收入端，滴滴所得应按实际到账金额记入“非农业生产经营收入”下的“交通运输、仓储和邮政业”（参考编码：220611）。需要注意的是，账面记录应为扣除平台抽成后的净额，或者将抽成部分单独列为经营费用。在支出端，必须详细分摊经营成本：包括行驶中产生的油费、路桥费，以及车辆的定期保养、维修费用。对于自有车辆，还应考虑其非流动资产折旧。此外，记账时需遵循行业归口原则，将其划归为“非农业生产经营费用”下的“交通运输、仓储和邮政业”（参考编码：510611）指住户或住户成员从事交通运输、仓储和邮政业生产经营活动所支出的费用。通过这种规范的核算方式，不仅能准确计算出兼职的经营净收入，还能防止经营性成本被误记为家庭生活消费，从而真实反映住户的综合收入结构。"
189,住户,住户调查中，住户不再从事批发零售场，下家所给的盘铺费如何记账？,"盘铺费通常包含对上家装修、铺货成本等前期投入的补偿，属于对原经营者历史成本的回收。 此类费用应视为生产经营收入的一部分，而非单纯的租金收入。将该户得到的盘铺费记人相应行业的＂生产经营收人＂。如果下家记账，应将付出的盘铺费记人相应行业的＂生产经营费用”。
由于住户从事批发零售场，故此记入非农业生产经营收入下的“批发和零售业项”（参考编码：220511）。"
190,住户,住户调查记账时家庭电与出租房电如何合理区分？,在住户调查中，必须严格区分家庭日常生活用电与出租房屋产生的电力消耗，以确保消费数据与经营数据的独立性。家庭生活用电属于消费性支出，应记入“居住”大类下“水电燃料及其他”下的“电”（编码：333211）；而由住户负担的出租房用电则属于资本经营范畴，应记入“非农业生产经营费用”中的“住宿和餐饮业”（编码：510711）。这种划分的核心在于准确界定电力的服务对象：是保障本户成员生活，还是为了获取租赁收益。
191,住户,住户调查中，住户家里种了100斤菜卖了50斤50斤自己吃怎么记账？,"在住户调查的农户记账中，针对“产销参半”的农产品，必须通过“收入、消费、成本”三个维度来完整还原家庭经营的经济循环。
首先，在产量端，应在《自产自用实物账》中如实登记100斤的总收获量，作为生产能力的基准。针对出售的50斤，需在《现金收支账》中记录为“出售农产品及提供农业服务”，对应编码为“出售蔬菜及食用菌”（参考编码：12109），反映家庭的现金流入。针对留作自用的50斤，这部分虽未产生现金流，但属于“虚拟收入”后的消费，必须记入《生活消费实物支出》中的“自产自用蔬菜及食用菌消费”（编码 16109），根据蔬菜类别记入相应项如“自产自用露地蔬菜”或“自产自用大棚蔬菜”，以确保家庭生活水平的统计不因自给自足而缩水。通过这种“产销分记、实物折价”的方法，能精确计算出该住户的农业经营净收入与实际营养消费水平。"
192,住户,住户调查中的工资收入包含五险一金吗？,"在住户调查统计中，工资性收入的核算严格遵循“实际获得”与“收付实现制”原则。具体而言，工资收入仅包含单位直接支付给个人的劳动报酬（如计时工资、奖金、津贴及补贴等），而不包含五险一金的单位缴纳部分与个人缴纳部分。这种分类处理方式旨在清晰界定家庭的实际可支配财力与非消费性社会保障支出之间的界限。
五险一金需被记入转移性支出中的社会保障支出（参考编码：532）大项下的各小项，包含“个人缴纳的养老保险”、“个人缴纳的医疗保险”、“个人缴纳的失业保险”、“个人缴纳的住房公积金”、“个人缴纳的职业（企业）年金”以及“其他社会保障支出”。"
193,住户,住户调查中，自营性质的网络主播直播带货收入应计入什么收入？,自营性质的网络主播直播带货收入应记入“非农业生产经营收入”下的“其他”项（参考编码：221111）指住户或住户成员从事信息传输、软件和信息技术服务业、金融业、科学研究和技术服务业、教育、卫生和社会工作、文化、体育和娱乐业等行业的生产经营活动所获得的全部收入，含成本及缴纳的各种税费。
194,住户,住户调查中，公司在节假日发放了礼品要怎么记账？,公司在节假日发放的实物礼品，应按照实际发放礼品种类，记入从单位或雇主得到的实物和服务项中的实物产品折价（参考编码：411）下的各类如食品、衣着等。
195,CPI,CPI采价操作中，代表规格品的选取要求是什么?,考虑到我国幅员辽阔，各地消费习惯不同，为体现地域代表性，代表规格品主要由每个调查市(县)根据该地消费习惯及消费结构等情况选取，选取出的代表规格品必须确保有足够的代表性。此外，为便于地区比较，一部分全国消费具有共性的商品和服务由国家统计局城市司统一规定，各地必须按规定选取。《流通和消费价格统计报表制度》规定了各市(县)应选取的每一基本分类下代表规格品的最少数量，各地在最少选取数量基础上可根据当地实际情况适当增加。年底前，各市(县)调查队应将选中的规格品清单报各调查总队审定，同时报国家统计局城市司备案。
196,CPI,CPI采价操作中，采价点是如何抽选的?,开展CPI调查的各市(县)在对当地消费市场进行摸底调查、掌握市场基本情况(经营品种、销售额等指标)的基础上，将各种类型的商场(店)、超市、农贸市场、服务网点、互联网电商等以销售额(成交额或经营规模)为标志，从高到低排队，依据所需采价点的数量进行等距抽样，同时兼顾调查点的代表性和区域分布合理性，最终确定采价点。36个大中城市中，每个市至少选择5个农贸市场(生鲜市场)和3个综合型超市作为采价点，具备条件的地级市参照执行；其他地级市中，每个市至少选择3个农贸市场(生鲜市场)和2个综合型超市作为采价点；每个县级市和县至少选择2个农贸市场(生鲜市场)和1个综合型超市作为采价点。对于同一规格品，原则上36个大中城市中，每个市至少选择3个采价点，其他地级市中，每个市至少选择2个采价点，每个县级市和县至少选择1个采价点，水、电、燃气等政府统一定价的规格品除外。设区的城市原则上要求每个区有1个农贸市场(生鲜市场)和1个超市。对于一些规格等级复杂多变的商品，各地必须根据实际情况，适当多选几个采价点。
197,CPI,CPI采价操作中，采价的基本原则和要求是什么?,(1)“定人、定点、定时”的“三定”原则。 “定人”是指在一定时期内固定采价员去调查价格；“定点”是指固定调查价格的地方，也就是采价点；“定时”是指固定价格调查的日期和间隔。(2)直接调查。各类商品和服务的价格均是由国家统计局各调查队的采价人员去现场或从互联网直接调查，并通过手持数据采集器直接传回国家统计局服务器，杜绝了中间过程的干扰和误差。(3)采集实际成交价。每种商品和服务都需采集最后成交的消费者需支付的价格，不采集挂牌价或中间价格。(4)同质可比。为了保证价格的可比性，我们要求每次采价的规格品必须同质，不仅性质应当相同，数量、重量或容量也必须相同。例如上次采集的是三元原味200ml装酸奶的价格，下次也必须采集三元原味 200ml装酸奶的价格，不能用草莓味酸奶直接去与上次价格相比，也不能用250ml装与上次的200ml装直接比较。如遇到规格品不同质，需进行相应的折算。
198,CPI,CPI采价操作中，采价的主要方法有哪些?,(1)直接采集法。是指以查看商品的价格标签牌(标价页面)和促销方式等直接采集销售价格，这种方法适用于规模较大、经营较规范、交易中不能讨价还价的大中型商场、超市、互联网电商等，其价格标签(标价页面)包含了品牌、产地、规格、型号等基本信息，促销方式标示清楚，可直接看到或计算得到实际成交价。(2)询问观察法。对没有明码标价或虽有标价但可以讨价还价的商品，可能会出现经营者虚报价格的现象，如农贸市场、小型商店及大中型商场中出租柜台等经营的商品，需要采用询问法，既询问经营者，也询问购买者，登记实际发生的成交价格。当摊主报价不实时，可观察买卖双方讨价还价的过程或者正在过称的商品价格，将此成交价格作为采集的价格。(3)查询法。对于一些政府定价的项目，可直接通过官方网站或发布的相应公告查询行政记录数据以采集价格。
199,CPI,CPI采价操作中，采价的频率是怎样的?,一般性商品(服务)每月调查2次价格；部分服务项目每月调查3次价格；对于与居民生活密切相关、价格变动比较频繁的商品，每5天调查一次价格；由国家或地方统一定价的一些商品(服务)或价格相对稳定的商品(服务)，每月调查1次价格。
200,CPI,CPI采价操作中，什么情况下需要替换采价点?,(1)当某采价点出现永久性停业(歇业)、关闭、破产等情况，原规格品价格无法采集时，需尽快确定新采价点，在新采价点内采集价格。(2)如遇到假期、装修等情况，农贸市场(生鲜市场)等采价点内某个摊位临时关闭，应选择该采价点附近的其他采价点或农贸市场内的其他摊位作为临时采价点。等下次原采价点或摊位开业时，继续按原采价点采集。(3)如采价点内某个品种的商品不再售卖，应选择售卖该品种商品的临近采价点采集该品种价格。
201,CPI,CPI采价操作中，采价点替换由谁来进行?,采价员在采价过程中若发现采价点关闭或失去代表性时，如采价点客流量显著减少，要及时与市(县)调查队工作人员联系汇报情况，根据市场经验提出建议，后由市(县)调查队工作人员和采价员共同商定替换采价点，并经国家统计局各调查总队审核确定后实施，同时报国家统计局城市司备案。
202,CPI,CPI采价操作中，规格品替换由谁来进行?,对于各地自行采集的普通商品和服务，规格品的替换应当由采价员与市场销售人员充分沟通、了解相应情况后，与市(县)调查队工作人员联系，提出建议，由市(县)调查队工作人员和采价员共同确定替换规格品，并在月末统一报调查总队备案。如遇市(县)调查队无法确定的情况，需及时请示上级调查总队后执行。各调查总队需定期审核各市(县)规格品替换情况，如发现有不合理或操作不当，需及时反馈市(县)调查队，立即更正。对于国家组织集中采集的网络交易商品和服务，规格品替换应由承担集中采价任务的人员在了解相应情况后，报告给市(县)调查队、调查总队，最后上报至国家统计局城市司，由国家统计局城市司确定替换规格品。
203,CPI,CPI采价操作中，商品包装更新如何采集价格?,"当调查规格品出现包装变化，引起重量、体积等有所调整，但商品性质未发生本质改变时，应通过单位价格换算的方法来解决，并及时在 CPI手持数据采集系统上进行虚拟折算操作。如某品牌洗发水由350ML调整到400ML,价格由 25.00元上涨到 30. 00 元，为保持价格的连续性，调整后400ML洗发水的价格为 26.25元(30.00÷400×350=26.25元)。"
204,CPI,CPI采价操作中，商品打折促销如何采集价格?,实体店采价的规格品打折促销，是否采集折扣价应以7天为界，即折扣时间少于7天的规格品不采集折扣价，记录折扣前价格；折扣时间大于7天的规格品直接采集折扣价。网络采价的规格品打折或促销时间应以24小时为界，如打折或促销时间少于24小时，不采集折扣价，直接沿用上一采价日的价格；如打折或促销时间超过24小时(包括 24 小时)，直接采集打折或促销后的价格。此外，还要按具体情况判断是普遍现象还是特殊现象。如果是特殊现象，如折扣价仅限量供应，临近过期的食品等，原则上应采集其原价格；如果是普遍现象则采集折扣价。当商品折扣力度过大且销量不大时应及时更换规格品。
205,CPI,CPI采价操作中，返券的商品如何采集价格?,对于实体商场常用的“满a元的商品返b元的券”促销活动，应直接询问营业员“如果不返券的话，最低能打几折”，按这个最低折扣计算规格品价格。如果没有折扣价，应记录购买规格品的原价。
206,CPI,CPI采价操作中，满减的商品如何采集价格?,对于商场常用的“满a元减b元”等满额减现金的促销活动，采价员应该观察所采的单件规格品是否满足满额减的要求。如果购买单件规格品能享受现金减免，那么录入现金减免后的价格；如果购买单件规格品不能享受现金减免，则采集该规格品的实际成交价格。
207,CPI,CPI采价操作中，食品类价格采集和上报有什么要求?,鲜活食品等价格变动较为频繁的商品，采价频率为5天一次，每个月逢5和0的日期采价；其他食品每月采集2次或1次价格。时间要求上，食品类价格的采集时间应相对固定，农贸市场(生鲜市场)和超市中鲜活食品的采价均应在采价日的12：00之前完成，具体时间应基本相同，以确保价格的可比性。其中，农贸市场(生鲜市场)的具体采价时间应定为该农贸市场人流量比较集中的时段。食品类价格要求即采即报，采价时注意计量单位。因单件商品价格往往较低，为准确体现变动幅度，上报的价格必须精确至小数点后两位。
208,CPI,CPI采价操作中，外卖价格采集是否包含打包费用和送餐费用?,外卖是指通过电话或网上订餐，由相关人员配送到达指定地点的餐饮，采集的价格应包含餐饮本身价格、打包费用和送餐费用。
209,CPI,CPI采价操作中，鲜菜鲜果缺货应如何处理?,鲜菜鲜果具有很强的季节性，各地应制定明确的鲜菜鲜果上下市时间表。对于在本月采价计划中的鲜菜鲜果品种，采价员均应按照要求采集和录入价格。如遇采价计划中的鲜菜鲜果缺货，应视情推算或沿用价格，并在采价系统中备注；对于非本月采价计划中的鲜菜鲜果，本月不必采集和录入价格。
210,CPI,CPI采价操作中，工业消费品规格品替换的主要原则是什么?,(1)功能用途相同。如原规格品为某品牌滚筒洗衣机，则新规格品也应选择同品牌滚筒洗衣机，而不能选择与之功能差异较大的波轮洗衣机。(2)品牌相同或相当。若因具体原因难以选择同品牌规格品进行替换，则需选择业界影响力或市场占有量大体相当的其他品牌规格品作为新规格品。(3)生产企业或供货渠道性质相同。若原规格品为某品牌原装进口照相机，则新规格品也应选择同品牌或档次相当品牌原装进口照相机，不应选择国产代工的照相机。(4)材质相同或近似。如原规格品为某品牌含羊毛90%的男式中长大衣，新的替换规格品也需选择同品牌男式中长大衣，且材质尽可能接近原规格品面料主成分“羊毛 90%”的标准。如候选规格品A，主要成份为羊毛 85%、棉15%，候选规格品 B，主要成份为羊毛 30%、棉30%、聚酯纤维 40%，则应优先选择主要成分含量与原规格品更为接近的侯选规格品 A 作为新规格品。(5)核心技术相同或近似。若原规格品为某品牌LED液晶电视机，则原则上新规格品也应选择同品牌LED液晶电视机，不得选择等离子电视机或LCD液晶电视机等与之使用技术不同的电视机。随着技术的更新换代，若在一个调查周期内，从市场占有量看，市场上的新技术产品已取代了旧技术产品，则应选择新技术产品替代旧技术产品。需要注意的是，电器类规格品的替换，须满足新规格品核心技术优于旧规格品的原则，不得出现逆向替换。(6)价格档次相当。对于手机等通信工具，若规格品替换时仅考虑满足新旧规格品绝对价格相近，则难以反映该类别整体价格的变动趋势，应采取先定档次、再选规格品的方法进行替换。(7)市场占有量相当。新规格品在其品牌同类产品中的销量所占比重应与原规格品大致相当。
211,CPI,CPI采价操作中，工业消费品缺货应如何处理?,若工业消费品出现缺货，应首先与销售人员沟通确认该规格品是暂时断货还是不再销售。对于暂时断货的规格品，可沿用上期价格且最多沿用两次；若第三次采价时该规格品仍断货，应向市(县)调查队工作人员汇报，尽快确定替换规格品。对于不再销售的规格品，采价员应及时与市(县)调查队工作人员联系，进行替换。替换时，如果能在市场内找到其他相近的同类规格品，由市(县)调查队工作人员按照规则直接替换规格品。如无法在市场内找到相近的同类规格品，则需要确认该商品是否为季节性商品导致季节性缺货。如不是季节性缺货，在其他商店仍有销售，应尽快确定替换该商品的采价点；如属于季节性缺货(如夏季不再销售旧款羽绒服)，则沿用最近一次的价格至该类商品(冬季新款羽绒服)再次上市的月份，再替换为新上市的规格品(冬季新款羽绒服)，录入新规格品价格。
212,CPI,CPI采价操作中，服装及鞋类规格品选取的主要原则是什么?,(1)代表性。服装和鞋类规格品应选择本地消费的主流品牌、主流价位、主流产品。其中，主流品牌是指大众知名品牌，奢侈品牌一般不纳入；主流价位是指与当地收入、消费水平相适应的的价位；主流产品是指知名品牌当季畅销产品、主打产品，已停产或断码特价销售的商品不再作为代表规格品。(2)差异性。同一基本分类下规格品的选取应突出差异性，即尽量选取不同品种、款式、花色、面料、价位的服装，以全面反映当地服装的价格走势。为避免因个别品牌打折引起某类服装价格大幅波动的情况，选择规格品时应多选择不同档次、不同风格的品牌，尽量做到品牌差异化，一般同一类服装的品牌不能完全一样，每一种品牌所选的规格品不超过三个，从而提高规格品的代表性。(3)季节性。选择规格品时，要充分考虑季节性，春夏秋冬各季节服装和鞋类均要有调查品种。对于包含不同季节的分类，为确保价格走势更为合理，原则上每个季节的服装和鞋类都要选取规格品。以裤子为例，如只选取两个规格品，则应选择一条秋冬款厚裤子和一条夏季薄裤子，保证不同季节均能采到裤子的价格。
213,CPI,CPI采价操作中，服装及鞋类规格品选取的具体流程是什么?,以需要选取2—3个规格品的分类为例：(1)深入开展市场调查，广泛征求意见，选取符合制度要求、市场占有率高、有代表性的规格品分类，确保季节性产品与非季节性产品兼顾。(2)在采价点有关人员的协助下，对选中采价点销售的主要服装和鞋类按销量进行排序，选择4——5个销售相对稳定、销量较大的规格品作为预选规格品。(3)从预选规格品中选出在多个采价点均有销售的2—3个预选规格品作为主要规格品，另外1—2个规格品作为备用规格品。(4)将初步确定的主要规格品和备用规格品清单征求有关专业人员的意见和建议，最终确定正式的代表规格品。(5)选定代表规格品后，应组织调查人员，深入价格采集点，逐个品种予以确认。要准确把握代表规格品的内在、外部特征，详细记录规格品的产地、品牌、样式、材质、货号、上市价格、适用季节等，便于调查人员在采价时查找和替换规格品更为准确。
214,CPI,CPI采价操作中，服装及鞋类价格采集的具体要求是什么?,(1)同期可比。由于服装和鞋类的季节性变化明显，每一季新货上市时价格都会有不同程度的变化，各地应根据当地换季时间确定服装的上下市时间，在价格台账上标注清楚换季的时间和价格处理办法，便于同期可比，例如：去年5月份开始采夏季服装的价格，那么今年也应从5月份开始采夏季服装的价格。(2)实际成交。服装和鞋类价格通常由吊牌价和折扣率组成，最终的成交价格与挂牌价(或起初的口头报价)之间往往差异较大，因此必须采集实际成交价。(3)档次相当。由于服装和鞋类价格上市后会逐渐打折，价格逐步降低，当规格品价格降至上市价格的7折以下时，原则上应考虑更换规格品。在更换规格品时一定要参照该规格品原上市时的初始价格，不能比照替换时的最终折扣价格去选取价位相当的替换规格品，以避免出现价格越换越低的情况。(4)7天原则和24小时原则。原则上，对于实体店销售的商品，返券、打折等促销活动超过7天方可列入采价范围。但如果是从网络采价，不遵循7天原则而采用24小时原则，即时限以24小时为界，促销活动超过24小时即可列入采价范围。
215,CPI,CPI采价操作中，服装及鞋类缺货应如何处理?,服装及鞋类缺货分为两种情况，一是季节性商品过季撤柜，二是非季节性商品缺货或季节性商品未过季时就缺货。(1)如果是季节性商品过季撤柜，可在其撤柜后沿用最后一次实际采集的价格。第二年继续上市时，再次调研市场后确定新的规格品。选择新规格品时，尽量选择原材料和工艺没有大的变化、只是款式略微改变、价格变动幅度在20%以内的新款商品，且此时价格可直接采集，无需折算。若第二年该规格品不存在了，可认为是第二种断档缺货的情况，按以下操作办法进行。(2)对于非季节性商品缺货或季节性商品未过季就缺货的情况，有以下几种处理办法：一是相近款式替代法。在调查时，如发现原来的规格品已不存在，无法采价时，要先询问营业员是暂时缺货还是以后不再销售。若是暂时缺货，可沿用上次的价格，最多沿用两次，同时需准备备用规格品；若是以后不再销售，则选择与原规格品款式相近、成分比例相似、且与原商品上市价格差距在20%以内的商品作为新规格品，新规格品的价格可直接采集，不用折算。相近款式替代法要严格遵循四个“基本不变”原则：①品牌档次基本不变，如雅戈尔西服不能换成杉杉西服；②衣服原料基本不变，如不能把毛涤的换成全毛的或者化纤的；③做工基本不变，如不能脱卸的不能换成能脱卸的；④使用价值基本不变，如休闲西装不能换成正装西装或休闲大衣，秋装不能直接替代冬装。二是新款替代法。调查时如出现下述情况均可采用新款替代法，用最新款式的价格替代原规格品价格：所采的规格品价格变动异常，如商场为清空库存作特价处理；所采的规格品不再是本季主打，如有的羊绒衫几年来一直在卖，但价格不变，实际上新上市羊绒衫价格却一直上涨。三是趋势虚拟法。当采用以上两种方法更换的规格品与原来的规格品价格相差过大(超过20%)，不能直接替代时，可通过市场调研并与相关人员沟通，评估同档次商品新上市价格与上年同期相比的涨幅，综合几家商场营业员意见后，确定有代表性的规格品，通过评估推算平均价格变动幅度，同时做好记录存档工作。
216,CPI,CPI采价操作中，汽车销售遇到加价、赠品等如何处理?,对于汽车销售，如遇部分门店有加价行为，或者捆绑搭售，应采集加价或捆绑搭售后的全部实付价格。对于门店的促销活动，如送内饰、全车贴膜、时段或公里数送保养、送油卡等，这些赠送的服务、配件和装饰等价格不予拆分折算，直接采集购买汽车需支付的实际价格。
